epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7672,0.93957,2.54909,2.2404,1.22993,0.39628,0.58333,0.38642,0.26808,0.38453,0.58333,0.4003,0.26908,1.28559,2.57938,2.36037,1.54682,0.000473952,0.000473952,0.000473952
2,27.8708,0.89203,1.84455,1.32199,1.16642,0.54663,0.41667,0.49653,0.30577,0.54663,0.41667,0.48953,0.35917,1.45027,2.33821,2.3248,1.60699,0.000940877,0.000940877,0.000940877
3,40.7841,0.87071,1.73721,1.14685,1.14008,0.74922,0.49819,0.52815,0.39703,0.87305,0.57421,0.61104,0.44328,1.11915,2.19416,2.08617,1.26266,0.00139837,0.00139837,0.00139837
4,53.7677,0.88524,1.76479,1.09367,1.1441,0.94315,0.33333,0.40313,0.26236,0.94315,0.33333,0.40313,0.34409,1.44589,2.65876,2.75913,1.40471,0.00138656,0.00138656,0.00138656
5,66.5361,0.86828,1.60553,1.01534,1.14952,0.95868,0.5,0.61145,0.42889,0.95868,0.5,0.58141,0.42056,1.08024,2.17056,2.11847,1.2982,0.00137241,0.00137241,0.00137241
6,79.4755,0.83811,1.59256,0.91778,1.11785,0.81688,0.41667,0.47893,0.36441,1,0.4882,0.58923,0.31086,1.00409,2.1358,1.99432,1.33746,0.00135826,0.00135826,0.00135826
7,92.2633,0.80772,1.54836,0.87065,1.09939,1,0.40311,0.50814,0.37217,1,0.40311,0.50814,0.33937,1.04705,2.19021,2.07058,1.30017,0.00134412,0.00134412,0.00134412
8,105.074,0.8235,1.5995,0.86844,1.11575,0.74402,0.41667,0.52026,0.36217,0.74402,0.41667,0.50106,0.35764,1.17495,2.4887,2.03661,1.36106,0.00132997,0.00132997,0.00132997
9,118.003,0.75933,1.47311,0.79181,1.07168,0.66672,0.5,0.58333,0.40501,0.66672,0.5,0.60641,0.4352,1.1129,2.22642,1.96734,1.26864,0.00131582,0.00131582,0.00131582
10,130.847,0.76545,1.49924,0.77484,1.08122,0.66592,0.66461,0.69327,0.5128,0.74736,0.74031,0.8088,0.52038,1.01709,1.87254,1.46886,1.14809,0.00130168,0.00130168,0.00130168
11,143.634,0.72627,1.45138,0.73118,1.05925,1,0.41591,0.57535,0.44633,1,0.41591,0.55415,0.43169,1.04826,2.62572,1.89935,1.16718,0.00128753,0.00128753,0.00128753
12,156.556,0.72569,1.44585,0.72161,1.05889,0.68337,0.41667,0.58112,0.47136,0.68337,0.41667,0.58112,0.47364,0.8589,2.19343,1.66427,1.07424,0.00127338,0.00127338,0.00127338
13,169.53,0.7219,1.38983,0.67877,1.05239,0.79273,0.58333,0.71203,0.60811,0.79273,0.58333,0.71203,0.54724,0.80521,1.83796,1.39738,1.02738,0.00125923,0.00125923,0.00125923
14,182.555,0.69648,1.34478,0.66437,1.04359,0.71431,0.5,0.52826,0.45034,0.83533,0.58333,0.68451,0.4341,0.77959,1.82617,1.74729,1.00709,0.00124509,0.00124509,0.00124509
15,195.567,0.69153,1.33344,0.64176,1.03221,0.97552,0.5,0.6364,0.45044,0.97552,0.5,0.6364,0.46107,0.9392,1.6781,1.96267,1.17704,0.00123094,0.00123094,0.00123094
16,208.441,0.70213,1.36313,0.64055,1.0366,0.67401,0.91667,0.85029,0.65691,0.67401,0.91667,0.85029,0.60144,0.88978,1.71152,1.13043,1.04925,0.00121679,0.00121679,0.00121679
17,221.207,0.66538,1.30521,0.60794,1.02193,0.96591,0.5,0.67976,0.4958,0.96591,0.5,0.67976,0.51371,0.91973,1.83301,1.64326,1.10314,0.00120265,0.00120265,0.00120265
18,233.875,0.67658,1.28813,0.59435,1.02288,0.71476,0.5,0.68505,0.5725,0.76399,0.58333,0.72394,0.54805,0.82139,1.99189,1.61547,1.04233,0.0011885,0.0011885,0.0011885
19,246.84,0.64627,1.23777,0.60011,1.00816,0.88739,0.65766,0.79707,0.68128,0.88739,0.65766,0.79707,0.62793,0.68616,1.75052,1.36643,0.92679,0.00117435,0.00117435,0.00117435
20,259.674,0.66729,1.29189,0.60178,1.00942,0.98371,0.5,0.5872,0.45095,0.98371,0.5,0.5872,0.44631,1.03972,1.79514,2.02378,1.2919,0.00116021,0.00116021,0.00116021
21,272.541,0.65038,1.2661,0.5843,1.01341,0.5841,0.83333,0.71247,0.60328,0.5841,0.83333,0.71436,0.59553,0.7033,1.85018,1.34697,1.01059,0.00114606,0.00114606,0.00114606
22,285.261,0.66492,1.29004,0.58887,1.01919,0.70821,0.5,0.57619,0.50232,0.83459,0.58333,0.67762,0.48794,0.80498,1.65919,1.79216,1.05452,0.00113191,0.00113191,0.00113191
23,298.017,0.63385,1.21054,0.56076,0.99247,0.86255,0.66667,0.69783,0.6125,0.86255,0.66667,0.69783,0.56166,0.77807,2.02611,1.7724,0.9752,0.00111776,0.00111776,0.00111776
24,310.821,0.64901,1.23962,0.57258,1.01247,0.98383,0.58333,0.73571,0.62691,0.98383,0.58333,0.73571,0.60866,0.69471,1.59784,1.36467,0.94974,0.00110362,0.00110362,0.00110362
25,323.641,0.62914,1.22606,0.53874,1.00753,1,0.66639,0.67996,0.55821,1,0.66639,0.67996,0.57414,0.78769,1.87262,1.81743,0.96132,0.00108947,0.00108947,0.00108947
26,336.378,0.61514,1.18718,0.54001,1.00043,1,0.57217,0.83438,0.68408,1,0.57217,0.83438,0.63921,0.87179,1.83004,1.05073,1.02434,0.00107532,0.00107532,0.00107532
27,349.138,0.62372,1.19589,0.53343,1.00141,0.93892,0.58333,0.64509,0.50166,0.93892,0.58333,0.64509,0.50062,0.89724,1.88265,1.97725,1.08145,0.00106118,0.00106118,0.00106118
28,361.972,0.61241,1.19129,0.53665,0.98973,0.96945,0.58333,0.70014,0.59985,0.96945,0.58333,0.70014,0.57412,0.79716,1.88966,1.51456,1.00162,0.00104703,0.00104703,0.00104703
29,374.688,0.62444,1.21786,0.54298,1.00312,0.61318,0.83333,0.75546,0.66844,0.61318,0.83333,0.75546,0.58651,0.67473,1.73737,1.21925,0.96342,0.00103288,0.00103288,0.00103288
30,387.914,0.59281,1.14674,0.49894,0.98993,0.54375,0.58333,0.52493,0.42954,0.97795,0.5,0.6485,0.47071,0.91774,1.65178,2.02564,1.03665,0.00101873,0.00101873,0.00101873
31,401.518,0.61142,1.19131,0.51271,0.9929,0.88173,0.66667,0.73087,0.65242,0.88173,0.66667,0.73563,0.60794,0.61529,1.73268,1.352,0.90694,0.00100459,0.00100459,0.00100459
32,414.815,0.62583,1.1957,0.51472,0.99797,0.88642,0.65183,0.69078,0.6112,0.88642,0.65183,0.69078,0.62611,0.64644,1.68642,1.50492,0.93498,0.00099044,0.00099044,0.00099044
33,427.955,0.6171,1.17486,0.51314,0.98949,1,0.5789,0.63063,0.59434,1,0.5789,0.63063,0.55354,0.76252,2.09152,2.04261,0.97243,0.000976293,0.000976293,0.000976293
34,441.243,0.60821,1.17206,0.50353,0.99004,0.76829,0.55488,0.6181,0.49849,0.97772,0.58333,0.64953,0.51083,0.81528,1.73633,1.79574,1.06369,0.000962146,0.000962146,0.000962146
35,454.427,0.58553,1.11562,0.49434,0.97757,0.76006,0.66667,0.73372,0.5882,0.76006,0.66667,0.7037,0.57196,0.80232,1.86716,1.35266,1.04161,0.000947999,0.000947999,0.000947999
36,467.516,0.5868,1.1422,0.49105,0.98025,0.98225,0.58333,0.666,0.54235,0.98225,0.58333,0.666,0.56006,0.86659,1.61565,1.43974,1.09299,0.000933851,0.000933851,0.000933851
37,480.669,0.5887,1.14999,0.49248,0.97843,0.9687,0.58333,0.66179,0.56776,0.9687,0.58333,0.66179,0.57366,0.73127,1.77972,1.62693,0.94645,0.000919704,0.000919704,0.000919704
38,493.673,0.5814,1.09505,0.47557,0.98011,0.99254,0.58333,0.67961,0.6126,0.99254,0.58333,0.67961,0.58051,0.70963,1.65822,1.33836,0.94191,0.000905557,0.000905557,0.000905557
39,506.812,0.60053,1.16151,0.49422,0.98976,0.82858,0.66667,0.79182,0.67559,0.82858,0.66667,0.8042,0.65205,0.63553,1.59101,1.08234,0.93995,0.00089141,0.00089141,0.00089141
40,519.616,0.58879,1.0981,0.4801,0.98657,0.97614,0.58333,0.72905,0.66775,0.97614,0.58333,0.72905,0.64071,0.60297,1.72651,1.25597,0.89731,0.000877263,0.000877263,0.000877263
41,532.75,0.5728,1.12852,0.4716,0.97012,0.95958,0.58333,0.7649,0.6747,0.95958,0.58333,0.76452,0.6594,0.65984,1.78463,1.04562,0.88388,0.000863116,0.000863116,0.000863116
42,545.899,0.57537,1.12826,0.46496,0.97333,0.96528,0.58333,0.80744,0.72219,0.96528,0.58333,0.80744,0.66509,0.58642,1.74031,0.977,0.87856,0.000848969,0.000848969,0.000848969
43,558.8,0.58135,1.07515,0.48029,0.98184,1,0.66126,0.69784,0.62283,1,0.66126,0.69784,0.60691,0.6847,1.77772,1.56662,0.9791,0.000834822,0.000834822,0.000834822
44,571.659,0.55569,1.02974,0.44098,0.96306,0.98663,0.58333,0.73702,0.66787,0.98663,0.58333,0.73702,0.64744,0.67434,1.83108,1.30189,0.89341,0.000820675,0.000820675,0.000820675
45,584.708,0.54684,1.00285,0.4367,0.95554,0.91017,0.58333,0.7156,0.6325,0.91017,0.58333,0.70036,0.5734,0.67421,2.45845,1.37372,0.88004,0.000806528,0.000806528,0.000806528
46,597.783,0.54714,1.0371,0.45029,0.96171,0.89083,0.83333,0.86653,0.74095,0.89083,0.83333,0.86653,0.67109,0.66436,1.80708,1.02782,0.90888,0.00079238,0.00079238,0.00079238
47,611.05,0.55463,1.08508,0.4602,0.96534,0.88709,0.65588,0.77031,0.68244,0.88709,0.65588,0.77031,0.64211,0.62035,1.73821,1.31784,0.87286,0.000778233,0.000778233,0.000778233
48,624.22,0.56115,1.07968,0.45147,0.97024,0.97754,0.58333,0.78953,0.67311,0.97754,0.58333,0.7577,0.6333,0.6453,1.73877,1.22113,0.89734,0.000764086,0.000764086,0.000764086
49,637.22,0.54204,1.0466,0.44696,0.96666,0.85546,0.58333,0.703,0.599,0.85546,0.58333,0.703,0.61005,0.63806,1.75476,1.40318,0.88824,0.000749939,0.000749939,0.000749939
50,650.425,0.54772,1.0385,0.43565,0.95688,0.98476,0.58333,0.76586,0.63048,0.98476,0.58333,0.75304,0.60891,0.75399,1.77402,1.33776,0.9788,0.000735792,0.000735792,0.000735792
51,663.386,0.53279,1.03365,0.42613,0.95349,0.99091,0.66667,0.77105,0.67384,0.99091,0.66667,0.77105,0.6309,0.68058,1.57904,1.28236,0.92347,0.000721645,0.000721645,0.000721645
52,676.55,0.54921,1.06574,0.43615,0.95817,0.98808,0.66667,0.77803,0.68625,0.98808,0.66667,0.77803,0.64732,0.62378,1.47045,1.12683,0.89172,0.000707498,0.000707498,0.000707498
53,689.547,0.53054,1.06276,0.42489,0.9556,0.99326,0.66667,0.83203,0.77102,0.99326,0.66667,0.83203,0.70553,0.55433,1.40749,1.18079,0.86114,0.000693351,0.000693351,0.000693351
54,702.514,0.54181,1.08515,0.43574,0.95936,0.97534,0.58333,0.75939,0.64767,0.97534,0.58333,0.75939,0.66708,0.72342,1.42275,1.40314,0.92481,0.000679204,0.000679204,0.000679204
55,715.499,0.54354,1.04933,0.43187,0.95611,0.95535,0.66667,0.69706,0.57522,0.95535,0.66667,0.69706,0.54998,0.8361,1.82578,1.57703,1.01197,0.000665057,0.000665057,0.000665057
56,728.524,0.53289,1.02245,0.41883,0.95264,0.98786,0.58333,0.67449,0.60253,0.98786,0.58333,0.67449,0.58908,0.66079,2.26942,1.6236,0.91955,0.000650909,0.000650909,0.000650909
57,741.538,0.53339,1.0001,0.41776,0.95497,0.88657,0.65274,0.7415,0.64291,0.88657,0.65274,0.7415,0.62568,0.70255,1.61397,1.16245,0.93486,0.000636762,0.000636762,0.000636762
58,754.554,0.52163,1.01429,0.41826,0.94448,0.87836,0.66667,0.7651,0.69283,0.87836,0.66667,0.7651,0.64722,0.5726,1.56226,1.11623,0.84361,0.000622615,0.000622615,0.000622615
59,767.687,0.52595,1.02613,0.41611,0.95113,1,0.66488,0.77201,0.71577,1,0.66488,0.73229,0.61267,0.55106,1.90727,1.21884,0.84102,0.000608468,0.000608468,0.000608468
