arm,id,E_sym,E_fixed,sym_mean_px,branch,annotated_corners,source_target_changed,mask_noninvariant
F0,capture_20260902_kimjihoon_manual_gt__002689,0.0031115665327114605,0.12422787379203452,2.4892532261691684,3,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__002809,0.0023231233847116413,0.12095447945121957,1.858498707769313,3,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__002929,0.0010807052535286102,0.11752220336128376,0.8645642028228882,3,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__003129,0.0034843553547543402,0.0034843553547543402,2.7874842838034724,0,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__003249,0.021334757189951276,0.23317415780144235,17.06780575196102,3,6,False,True
F0,capture_20260902_kimjihoon_manual_gt__003369,0.002878169831662973,0.002878169831662973,2.3025358653303787,0,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__003489,0.0023194709423168067,0.0023194709423168067,1.8555767538534456,0,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__003609,1.0,1.0,800.0,0,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__003729,0.0051283347637953,0.2078005867853509,4.102667811036239,3,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__003849,0.006276914211555112,0.006276914211555112,5.021531369244089,0,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__004009,0.0028457023719256325,0.24931052822806904,2.276561897540506,3,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__004129,0.004617407201972689,0.19130650859470621,3.6939257615781513,3,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__004249,0.003659359308635926,0.15359711676484028,2.927487446908741,3,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__004369,0.0017463866163950526,0.0017463866163950526,1.397109293116042,0,8,False,False
F0,capture_20260902_kimjihoon_manual_gt__004489,0.0021737691460973897,0.0021737691460973897,1.7390153168779117,0,8,False,False
