arm,id,detected,legacy_population,E_fixed,E_sym,fixed_mean_px,sym_mean_px,branch,annotated_corners,legacy_fixed9_px,legacy_buggy9_px,corrected9_px,mask_bug_changed_metric,mask_noninvariant,mask_changed_slots,rescue,true_collapse
F0,capture_20260902_kimjihoon_manual_gt__002689,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0031115665327114605,0.0031115665327114605,2.4892532261691684,2.4892532261691684,0,8,2.2466346633955663,2.2466346633955663,2.2466346633955663,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__002809,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002665985745929245,0.002665985745929245,2.132788596743396,2.132788596743396,0,8,2.0343636865615515,2.0343636865615515,2.0343636865615515,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__002929,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0010807052535286102,0.0010807052535286102,0.8645642028228882,0.8645642028228882,0,8,0.7869359098908421,0.7869359098908421,0.7869359098908421,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__003129,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0034843553547543402,0.0034843553547543402,2.7874842838034724,2.7874842838034724,0,8,2.696177763927957,2.696177763927957,2.696177763927957,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__003249,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.021334757189951276,0.021334757189951276,17.06780575196102,17.06780575196102,0,6,16.618580837259096,16.618580837259096,16.618580837259096,False,True,12,False,False
F0,capture_20260902_kimjihoon_manual_gt__003369,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002878169831662973,0.002878169831662973,2.3025358653303787,2.3025358653303787,0,8,2.187540281686388,2.187540281686388,2.187540281686388,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__003489,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0023194709423168067,0.0023194709423168067,1.8555767538534456,1.8555767538534456,0,8,1.8012323329196667,1.8012323329196667,1.8012323329196667,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__003609,False,challenge/yolo_pose_one_model/datasets/live_gt_v4,1.0,1.0,800.0,800.0,0,8,,,,False,False,0,False,True
F0,capture_20260902_kimjihoon_manual_gt__003729,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0051283347637953,0.0051283347637953,4.102667811036239,4.102667811036239,0,8,4.020388150904781,4.020388150904781,4.020388150904781,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__003849,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.006276914211555112,0.006276914211555112,5.021531369244089,5.021531369244089,0,8,4.769335538921886,4.769335538921886,4.769335538921886,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004009,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0028457023719256325,0.0028457023719256325,2.276561897540506,2.276561897540506,0,8,2.2312065771884835,2.2312065771884835,2.2312065771884835,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004129,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004617407201972689,0.004617407201972689,3.6939257615781513,3.6939257615781513,0,8,3.4822690198451385,3.4822690198451385,3.4822690198451385,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004249,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.003659359308635926,0.003659359308635926,2.927487446908741,2.927487446908741,0,8,2.6803223933264504,2.6803223933264504,2.6803223933264504,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004369,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0017463866163950526,0.0017463866163950526,1.397109293116042,1.397109293116042,0,8,1.4145656750778806,1.4145656750778806,1.4145656750778806,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004489,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0021737691460973897,0.0021737691460973897,1.7390153168779117,1.7390153168779117,0,8,1.7794957058579888,1.7794957058579888,1.7794957058579888,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004609,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.009778111433157035,0.009778111433157035,7.822489146525628,7.822489146525628,0,8,7.1386669393466935,7.1386669393466935,7.1386669393466935,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004729,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.00421587088796896,0.00421587088796896,3.372696710375168,3.372696710375168,0,8,3.1078575669667794,3.1078575669667794,3.1078575669667794,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004849,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0031614442335767645,0.0031614442335767645,2.5291553868614116,2.5291553868614116,0,8,2.2659474336546515,2.2659474336546515,2.2659474336546515,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__004969,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0033575373648828265,0.0033575373648828265,2.6860298919062613,2.6860298919062613,0,8,2.6150001389965816,2.6150001389965816,2.6150001389965816,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__005089,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0037613209043045005,0.0037613209043045005,3.0090567234436003,3.0090567234436003,0,8,2.8312380966565263,2.8312380966565263,2.8312380966565263,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__005209,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.007020994736671741,0.007020994736671741,5.6167957893373925,5.6167957893373925,0,8,5.114352590642858,5.114352590642858,5.114352590642858,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__005329,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004050521400014386,0.004050521400014386,3.2404171200115086,3.2404171200115086,0,8,3.345976053627542,3.345976053627542,3.345976053627542,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__005449,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.14499310577288355,0.004359965900808648,115.99448461830684,3.487972720646918,3,8,103.51448724640036,3.5086988929248766,3.5086988929248766,False,False,0,True,False
F0,capture_20260902_kimjihoon_manual_gt__005569,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0018571689886776469,0.0018571689886776469,1.4857351909421175,1.4857351909421175,0,8,1.3857993100053871,1.3857993100053871,1.3857993100053871,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__005689,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.18083711235585118,0.004075778879009403,144.66968988468093,3.2606231032075224,3,8,128.91736073695776,3.220412486759186,3.220412486759186,False,False,0,True,False
F0,capture_20260902_kimjihoon_manual_gt__005809,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0033190363599761284,0.0033190363599761284,2.655229087980903,2.655229087980903,0,8,2.523995539304666,2.523995539304666,2.523995539304666,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__005929,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004491678098202737,0.004491678098202737,3.5933424785621897,3.5933424785621897,0,8,3.423287248791011,3.423287248791011,3.423287248791011,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__006049,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.007441144089220866,0.007441144089220866,5.952915271376693,5.952915271376693,0,8,5.87822939891608,5.87822939891608,5.87822939891608,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__006169,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.00511227850977689,0.00511227850977689,4.089822807821512,4.089822807821512,0,8,4.124373818583556,4.124373818583556,4.124373818583556,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__006329,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0012595205233094432,0.0012595205233094432,1.0076164186475545,1.0076164186475545,0,8,1.042296622116736,1.042296622116736,1.042296622116736,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__006449,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0013448027322340423,0.0013448027322340423,1.0758421857872338,1.0758421857872338,0,8,0.9834917226462478,0.9834917226462478,0.9834917226462478,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__006569,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.00150391631604394,0.00150391631604394,1.203133052835152,1.203133052835152,0,8,1.1295868312191348,1.1295868312191348,1.1295868312191348,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__006689,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.001563362008601633,0.001563362008601633,1.2506896068813065,1.2506896068813065,0,8,1.2185102830985157,1.2185102830985157,1.2185102830985157,False,False,0,False,False
F0,capture_20260902_kimjihoon_manual_gt__006809,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.00190520044531441,0.00190520044531441,1.524160356251528,1.524160356251528,0,8,1.4840464487556408,1.4840464487556408,1.4840464487556408,False,False,0,False,False
