split,arm,id,available,centroid_translation_cm,equivalent_rotation_deg,body_extent_IoU
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f1862,True,4.777445052781306,1.2645005523610162,0.6740009686041651
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18621,True,18.12368869827285,4.196040496840752,0.5444727397521709
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18632,True,2.9792419275573794,5.215454132708343,0.5585749070432234
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18649,True,1.78225970142682,3.735822178212158,0.7609543661560397
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18651,True,18.073674773792078,3.7483911260204787,0.022258723640702208
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f1867,True,2.5158522280346984,1.4497957729154498,0.736513150823286
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18685,True,5.909122253953107,1.241782925891152,0.7401322487362026
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18723,True,13.263652523280001,88.07608631226839,0.6212926230137198
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18760,True,52.79823298008189,9.64557462411958,0.0
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18761,True,2.891922099296198,1.4914410781272236,0.6745861350618512
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18762,True,10.554031536180043,2.605306644840239,0.1983272199530199
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18768,True,3.113487069512758,3.3354395114041626,0.7324983786727813
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18776,True,4.48269571925757,8.733457621741337,0.5615913276785579
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18788,True,2.9851494426124328,2.6083736604339527,0.7159490361789341
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18792,True,22.695099354097305,177.41570322599782,0.010734255168081096
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18799,True,39.392900202749686,10.740891832389913,0.0
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18805,True,2.645804916135788,2.3829864806978853,0.7682749155951114
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f1881,True,5.944490515063798,177.99357865345414,0.5430669108389322
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18816,True,2.539619713600872,0.44429764433835944,0.7656453387040019
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f1882,True,3.937907950086484,2.787104956443084,0.6074377901350431
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18839,True,0.8976274660847742,2.2412003044465094,0.8806657990395921
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18888,True,0.6669171192335364,1.618772192750252,0.8807086118686392
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18901,True,4.180222643102323,3.6167585256623807,0.5675358764823326
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18902,True,7.436430037981087,0.753493911378392,0.5360083451859803
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18921,True,0.46789042688771315,0.44219875652573637,0.95273253498179
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18932,True,2.8808870273443308,1.9125890610716656,0.8310396621163809
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18939,True,15.854053734414597,1.8934176177476691,0.6021724468655744
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18960,True,1.7159329331719713,2.044145841228025,0.8773291600798004
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18981,True,4.915315787661376,4.022759754144673,0.5327807028013344
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18998,True,8.259428199638501,15.228967814334638,0.35543338399386454
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f18999,True,9.668917548164368,14.589543575956096,0.5902288757740749
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f19001,True,3.173133670799503,3.7249113854533245,0.621717394933905
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f19011,True,142.1904657802126,87.64796422833774,0.0
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f1903,True,1.1506831554442623,2.957508277568158,0.8401351975848023
RECT_SYNTH_VAL,EQUIV_seed2,G38__G__f19048,True,1.4394895141126216,0.6897590539081648,0.9124760025496917
