split,arm,id,evaluable,detected,matched,C,session,E_sym,E_fixed,frame_mean_px,branch,annotated_corners,center_error_px,outside_raw_corners
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0650,True,True,True,2,,0.004481249504815329,0.004481249504815329,3.877769968262227,0,8,1.0722178146136858,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0666,True,True,True,2,,0.003741833163449785,0.003741833163449785,4.12145555250763,0,8,4.992616471215779,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0679,True,True,True,2,,0.007067301814494653,0.007067301814494653,5.6538414515957225,0,8,5.36763053638972,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0691,True,True,True,2,,0.0028931389059323608,0.0028931389059323608,2.3145111247458887,0,8,2.184382048221419,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0705,True,True,True,2,,0.0013701870659027508,0.0013701870659027508,1.0851327936892061,0,8,1.0562515744193746,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0717,True,True,True,2,,0.004089211715387946,0.004089211715387946,4.50407690390632,0,8,2.699236156400702,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0719,True,True,True,2,,0.008343321657726568,0.008343321657726568,6.674657326181254,0,6,3.814781579978963,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0726,True,True,True,2,,0.00355071805291147,0.00355071805291147,2.840574442329176,0,8,1.742856532932765,3
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0740,True,True,True,2,,0.0036159423669029937,0.0036159423669029937,3.1289917471179276,0,8,0.928757339465546,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0744,True,True,True,2,,0.006792255498298061,0.006792255498298061,5.379191913085952,0,8,1.8626319458186822,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0754,True,True,True,2,,0.00269119107346024,0.00269119107346024,2.1313145924139327,0,8,0.20187759684141374,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0757,True,True,True,2,,0.0016071337104593107,0.0016071337104593107,1.770183187025892,0,8,1.0570372284038558,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0765,True,True,True,2,,0.0022688494997475553,0.0022688494997475553,2.499032415415763,0,8,1.3109515914458187,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0773,True,True,True,2,,0.001622070088354336,0.001622070088354336,1.2976560706834688,0,8,0.406686002273645,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0775,True,True,True,2,,0.0037357043845483045,0.0037357043845483045,4.11470498701467,0,8,3.4254779129973665,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0797,True,True,True,2,,0.0034820055233063182,0.0034820055233063182,3.8352674667788267,0,8,1.4742901850583903,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0800,True,True,True,2,,0.007599221228039775,0.007599221228039775,8.370189465145215,0,8,5.8942031128336945,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0805,True,True,True,2,,0.004400714800286837,0.004400714800286837,4.847183093519581,0,8,1.8315558394120965,1
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0811,True,True,True,2,,0.003116751227380166,0.003116751227380166,2.697025527164283,0,8,1.1505392922587905,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0822,True,True,True,2,,0.0025722585885755013,0.0025722585885755013,2.057806870860401,0,8,2.6593676717839467,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0829,True,True,True,2,,0.0015396053151326416,0.0015396053151326416,1.6958037939012562,0,8,1.8127048411916895,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0889,True,True,False,2,,1.0,1.0,800.0,0,6,800.0,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0895,True,True,True,2,,0.0014821276403892655,0.0014821276403892655,1.6324948029953354,0,8,1.711178861522779,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0899,True,True,True,2,,0.001731514524928908,0.001731514524928908,1.3852116199431264,0,8,0.8177693996864522,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0911,True,True,True,2,,0.0011569059323960377,0.0011569059323960377,1.274278186792989,0,8,0.89586636012526,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0924,True,True,True,2,,0.0022592020080449632,0.0022592020080449632,1.9549604835929575,0,8,0.8923058086817047,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0934,True,True,True,2,,0.002565283656971642,0.002565283656971642,2.0522269255773136,0,8,1.2346012501301606,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0953,True,True,True,2,,0.002740283414165662,0.002740283414165662,2.1922267313325294,0,8,1.0499956789287095,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0964,True,True,True,2,,0.0020761337786178034,0.0020761337786178034,1.6609070228942426,0,8,0.9631371456958147,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f0986,True,True,False,2,,1.0,1.0,865.3323061113574,0,8,865.3323061113574,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1004,True,True,True,2,,0.003655865548955199,0.003655865548955199,2.924692439164159,0,8,1.3984793775997884,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1007,True,True,True,2,,0.0026855449188605187,0.0026855449188605187,2.148435935088415,0,8,2.151899705626467,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1010,True,True,True,2,,0.0022310432541410036,0.0022310432541410036,1.7848346033128029,0,8,0.9649466532236298,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1012,True,True,True,2,,0.004957968870296139,0.004957968870296139,4.2902906361616795,0,8,0.5294636412802509,2
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1019,True,True,True,2,,0.002860618930833909,0.002860618930833909,2.2884951446671273,0,8,0.17804858836474471,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1022,True,True,True,2,,0.0027704354419270326,0.0027704354419270326,2.216348353541626,0,8,3.1037090294066134,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1060,True,True,True,2,,0.003417814344695366,0.003417814344695366,2.7342514757562926,0,8,1.5662104051358106,0
RECT_SYNTH_VAL,INDEXED_seed1,TEX__shard_01_f1073,True,True,True,2,,0.0027541768965721183,0.0027541768965721183,2.3832782453493726,0,8,0.7237895742141739,0
