gate,metric,value,threshold,verdict
G0_RESIDUAL_CAPACITY,far corners with >=50% error reduction,0.2826086956521739,0.8,FAIL
G1_FEATURE_OBSERVABILITY,min fold AUC (GT vs wrong peak),0.5910037484381507,0.75,FAIL
G1_FEATURE_OBSERVABILITY,min fold GT>wrong pair rate,0.6,0.7,FAIL
G2_GRAPH_INFORMATION,far median error reduction,0.017780548569084176,0.2,FAIL
G2_GRAPH_INFORMATION,far signed bias reduction,-0.02305792186626654,0.2,FAIL
