bin,n,share_50pct_top1,argmax_moved_to_gt,peak_base_median,peak_at_gt_median,gt_wins_after_residual,err_median_base,err_median_refined
<5px,4,0.0,1.0,0.9532238841056824,0.9532238841056824,1.0,2.077380992571307,2.077380992571307
5-20px,24,0.08333333333333333,1.0,0.9004964232444763,0.7273463308811188,1.0,11.527794592364106,10.516907434902697
20-50px,49,0.5918367346938775,0.9795918367346939,0.8220342993736267,0.4065376818180084,0.7346938775510204,32.71149042220949,14.772175851047304
>50px,61,0.13114754098360656,0.13114754098360656,0.7777085900306702,0.0030536968261003494,0.03278688524590164,76.34029080374269,76.34029080374269
