arm,median_px,near_median_px,far_median_px,f2_far_median_px,f2_far_signed_bias_px,p90_px,tail_gt20,tail_gt50,tail_gt100,nan_err,sharpen_no_correct,s6_better_than_s4,s6_mass_up,s6_wrong_down,pose_success,reproj_median_px,yaw_median_deg
C0,13.244332822618203,6.884772017265821,22.0766804554178,44.59261722264212,20.58383941627344,101.15753345824405,203,120,54,177,107,0.382183908045977,0.5057471264367817,0.35919540229885055,70,23.161628981707747,6.025215545151966
C1,12.360470241034822,6.813828787420121,22.171379298044794,44.17499595872131,20.226946103757108,93.03744374498316,193,108,45,182,195,0.3706896551724138,0.5646551724137931,0.3146551724137931,67,21.97532343332959,6.32188036065142
